Municipio,Fecha,NOM_ENT,NOM_MUN,state_code,mun_code
Acambay,Sábado 7 de Abril,México,Acambay de Ruíz Castañeda,15,1
Aculco,Sábado 7 de Abril,México,Aculco,15,3
Almoloya De Alquisiras,Miercoles 4 de Abril,México,Almoloya de Alquisiras,15,4
Amatepec,Viernes 20 de Abril,México,Amatepec,15,8
Apaxco,Sabado 14 de Abril,México,Apaxco,15,10
Atizapan De Zaragoza,Martes 24 de Abril,México,Atizapán de Zaragoza,15,13
Atlacomulco,Jueves 5 de Abril,México,Atlacomulco,15,14
Chalco,Lunes 23 de Abril,México,Chalco,15,25
Chapa De Mota,Jueves 19 de Abril,México,Chapa de Mota,15,26
Chiautla,Domingo 29 de Abril,México,Chiautla,15,28
Chinconcuac,Domingo 29 de Abril,México,Chiconcuac,15,30
Coatepec Harinas,Jueves 26 de Abril,México,Coatepec Harinas,15,21
Cocotitlan,Domingo 15 de Abril,México,Cocotitlán,15,22
Cuatitlan Izcalli,Viernes 13 de Abril,México,Cuautitlán Izcalli,15,121
Donato Guerra,Miercoles 11 de Abril,México,Donato Guerra,15,32
Ecatzingo,Domingo 8 de Abril,México,Ecatzingo,15,34
El Oro De Hidalgo,Jueves 5 de Abril,México,El Oro,15,64
Huehuetoca,Sabado 14 de Abril,México,Huehuetoca,15,35
Ixtapaluca,Lunes 23 de Abril,México,Ixtapaluca,15,39
Ixtapan De La Sal,Jueves 26 de Abril,México,Ixtapan de la Sal,15,40
Ixtapan Del Oro,Sabado 21 de Abril,México,Ixtapan del Oro,15,41
Ixtlahuaca,Miercoles 18 de Abril,México,Ixtlahuaca,15,42
Jiquipilco,Miercoles 18 de Abril,México,Jiquipilco,15,47
Jocotitlan,Jueves 5 de Abril,México,Jocotitlán,15,48
Luvianos,Domingo 22 de Abril,México,Luvianos,15,123
Naucalpan,Martes 24 de Abril,México,Naucalpan de Juárez,15,57
Nicolas Romero,Martes 24 de Abril,México,Nicolás Romero,15,60
Nopaltepec,Viernes 6 de Abril,México,Nopaltepec,15,61
Otumba,Viernes 6 de Abril,México,Otumba,15,65
Otzoloapan,Domingo 22 de Abril,México,Otzoloapan,15,66
Otzolotepec,Martes 17 de Abril,México,Otzolotepec,15,67
Ozumba,Domingo 8 de Abril,México,Ozumba,15,68
Papalotla,Domingo 29 de Abril,México,Papalotla,15,69
Polotitlan,Sábado 7 de Abril,México,Polotitlán,15,71
Rayon,Viernes 27 de Abril,México,Rayón,15,72
San Bartolo Morelos,Sabado 28 de Abril,México,Morelos,15,56
San Felipe Del Progreso,Martes 10 de Abril,México,San Felipe del Progreso,15,74
San Jose Del Ricon,Martes 10 de Abril,México,San José del Rincón,15,124
San Salvador Atenco,Domingo 29 de Abril,México,Atenco,15,11
San Simon De Guerrero,Jueves 12 de Abril,México,San Simón de Guerrero,15,77
Santo Tomas De Los Platanos,Sabado 21 de Abril,México,Santo Tomás,15,78
Soyaniquilpan,Jueves 19 de Abril,México,Soyaniquilpan de Juárez,15,79
Sultepec,Miercoles 4 de Abril,México,Sultepec,15,80
Temamatla,Domingo 15 de Abril,México,Temamatla,15,83
Temascalapa,Viernes 6 de Abril,México,Temascalapa,15,84
Temoaya,Martes 17 de Abril,México,Temoaya,15,87
Tenancingo,Viernes 27 de Abril,México,Tenancingo,15,88
Tenango Del Aire,Domingo 15 de Abril,México,Tenango del Aire,15,89
Tenango Del Valle,Viernes 27 de Abril,México,Tenango del Valle,15,90
Tepetlixpa,Domingo 8 de Abril,México,Tepetlixpa,15,94
Tequixquiac,Sabado 14 de Abril,México,Tequixquiac,15,96
Texcaltitlan,Miercoles 4 de Abril,México,Texcaltitlán,15,97
Timilpan,Sabado 28 de Abril,México,Timilpan,15,102
Tlalnepantla,Viernes 13 de Abril,México,Tlalnepantla de Baz,15,104
Tlatlaya,Viernes 20 de Abril,México,Tlatlaya,15,105
Tonatico,Martes 3 de Abril,México,Tonatico,15,107
Valle De Bravo,Jueves 12 de Abril,México,Valle de Bravo,15,110
Villa Allende,Miercoles 11 de Abril,México,Villa de Allende,15,111
Villa Del Carbon,Jueves 19 de Abril,México,Villa del Carbón,15,112
Villa Guerrero,Martes 3 de Abril,México,Villa Guerrero,15,113
Villa Victoria,Miercoles 11 de Abril,México,Villa Victoria,15,114
Xonacatlan,Martes 17 de Abril,México,Xonacatlán,15,115
Zacazonapan,Domingo 22 de Abril,México,Zacazonapan,15,116
Zumpahuacán,Martes 3 de Abril,México,Zumpahuacán,15,119
,,México,Valle de Chalco Solidaridad,15,122
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
